topic,authors,title,publicationName,doi,volume,issue,pageRange,coverDate,affiliation,citedbyCount,affilname,affiliation-country,year,month
COMP,Adhikari A.,Survey of techniques to detect common weaknesses in program binaries,Cyber Security and Applications,10.1016/j.csa.2024.100061,3,,,2025-12-01,"[{'@_fa': 'true', 'affilname': 'KU School of Engineering', 'affiliation-city': 'Lawrence', 'affiliation-country': 'United States'}]",-0.1234553128007165,KU School of Engineering,United States,2025,12
COMP,Alguliyev R.,An approach for assessing the functional vulnerabilities criticality of CPS components,Cyber Security and Applications,10.1016/j.csa.2024.100058,3,,,2025-12-01,"[{'@_fa': 'true', 'affilname': 'İnformasiya Texnologiyaları İnstitutu Azərbaycan Respublikasının Elm və Təhsil Nazirliyi', 'affiliation-city': 'Baku', 'affiliation-country': 'Azerbaijan'}]",-0.1234553128007165,İnformasiya Texnologiyaları İnstitutu Azərbaycan Respublikasının Elm və Təhsil Nazirliyi,Azerbaijan,2025,12
COMP,Kokila M.,"Authentication, access control and scalability models in Internet of Things Security–A review",Cyber Security and Applications,10.1016/j.csa.2024.100057,3,,,2025-12-01,"[{'@_fa': 'true', 'affilname': 'VIT-AP University', 'affiliation-city': 'Amaravati', 'affiliation-country': 'India'}]",-0.1234553128007165,VIT-AP University,India,2025,12
COMP,Dahiphale V.,Securing IoT devices with fast and energy efficient implementation of PRIDE and PRESENT ciphers,Cyber Security and Applications,10.1016/j.csa.2024.100055,3,,,2025-12-01,"[{'@_fa': 'true', 'affilname': 'Binghamton University State University of New York', 'affiliation-city': 'Binghamton', 'affiliation-country': 'United States'}]",-0.1234553128007165,Binghamton University State University of New York,United States,2025,12
COMP,Chu L.,A Kriging Surrogate Model for Ball Grid Array Electronic Packaging With Stochastic Material and Geometrical Parameters,"Journal of Electronic Packaging, Transactions of the ASME",10.1115/1.4065079,147,1,,2025-03-01,"[{'@_fa': 'true', 'affilname': 'ShanghaiTech University', 'affiliation-city': 'Shanghai', 'affiliation-country': 'China'}]",-0.1234553128007165,ShanghaiTech University,China,2025,3
COMP,Hajlaoui E.A.,"High Gain Compact Antenna-in-Package Solution Using Like Mushroom Electromagnetic Band Gap for Industrial, Scientific, and Medical Band","Journal of Electronic Packaging, Transactions of the ASME",10.1115/1.4065145,147,1,,2025-03-01,"[{'@_fa': 'true', 'affilname': 'Université de Tunis El Manar', 'affiliation-city': 'Tunis', 'affiliation-country': 'Tunisia'}, {'@_fa': 'true', 'affilname': 'Qassim University', 'affiliation-city': 'Al-Mulida', 'affiliation-country': 'Saudi Arabia'}]",-0.1234553128007165,Université de Tunis El Manar,Tunisia,2025,3
COMP,Ling C.,Correlation Study on Voiding in Underfill of Large Quantity Ball Grid Array Chip Using Machine Learning,"Journal of Electronic Packaging, Transactions of the ASME",10.1115/1.4065077,147,1,,2025-03-01,"[{'@_fa': 'true', 'affilname': 'Universiti Sains Malaysia', 'affiliation-city': 'Minden', 'affiliation-country': 'Malaysia'}]",-0.1234553128007165,Universiti Sains Malaysia,Malaysia,2025,3
COMP,García I.,Metric cake shop: A serious game for supporting education on ISO/IEC/IEEE 15939:2017 – Systems and software engineering – Measurement process in the context of an undergraduate software engineering course,Computer Standards and Interfaces,10.1016/j.csi.2024.103879,91,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Universidad Tecnologica de la Mixteca', 'affiliation-city': 'Huajuapan', 'affiliation-country': 'Mexico'}]",-0.1234553128007165,Universidad Tecnologica de la Mixteca,Mexico,2025,1
COMP,Tong S.,Entertainment robot based on IoT and VR interaction for motion training posture monitoring,Entertainment Computing,10.1016/j.entcom.2024.100788,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'South China Agricultural University', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",-0.1234553128007165,South China Agricultural University,China,2025,1
COMP,Karthiga M.,Entertainment analysis in gaming model for business management with decision making and Machine learning model,Entertainment Computing,10.1016/j.entcom.2024.100725,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Coimbatore Institute of Technology', 'affiliation-city': 'Coimbatore', 'affiliation-country': 'India'}]",-0.1234553128007165,Coimbatore Institute of Technology,India,2025,1
COMP,Chen C.,ISH: Isogeny-based Secret Handshakes with friendly communication costs,Computer Standards and Interfaces,10.1016/j.csi.2024.103880,91,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Sun Yat-Sen University', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Guangdong Key Laboratory of Information Security Technology', 'affiliation-city': 'Guangzhou', 'affiliation-country': 'China'}]",-0.1234553128007165,Sun Yat-Sen University,China,2025,1
COMP,Zhenhua Z.,Application of social entertainment robots based on machine learning algorithms and the Internet of Things in collaborative art performances,Entertainment Computing,10.1016/j.entcom.2024.100784,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Sangmyung University', 'affiliation-city': 'Jongno-gu', 'affiliation-country': 'South Korea'}]",-0.1234553128007165,Sangmyung University,South Korea,2025,1
COMP,Jia H.,Data mining based on computer game search algorithm in Japanese E-learning and multi context translation,Entertainment Computing,10.1016/j.entcom.2024.100718,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Changchun University of Technology', 'affiliation-city': 'Changchun', 'affiliation-country': 'China'}]",-0.1234553128007165,Changchun University of Technology,China,2025,1
COMP,Liao X.,Digital media entertainment technology based on artificial intelligence robot in art teaching simulation,Entertainment Computing,10.1016/j.entcom.2024.100792,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Leshan Teachers College', 'affiliation-city': 'Leshan', 'affiliation-country': 'China'}]",-0.1234553128007165,Leshan Teachers College,China,2025,1
COMP,Zhang J.,Artificial intelligence based social robots in the process of student mental health diagnosis,Entertainment Computing,10.1016/j.entcom.2024.100799,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'TianJin University of Technology and Education', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",-0.1234553128007165,TianJin University of Technology and Education,China,2025,1
